"
Puebla","
Tigres UANL
"
Starting XI
17,C. Campestrini,"[('yellow-card', ""90'+"")]",1,N. Guzmán,[]
32,C. Pérez,"[('yellow-card', ""62'"")]",16,L. Advíncula,"[('yellow-card', ""66'"")]"
5,E. Dueñas,[],4,H. Ayala,[]
2,R. Herrera,[],6,Jorge Torres,[]
25,A. Canelo,"[('yellow-card', ""83'"")]",21,F. Meza,"[('yellow-card', ""5'"")]"
8,F. Acuña,"[('sub-out', ""71'"")]",29,J. Dueñas,[]
3,C. Gutiérrez,[],19,G. Pizarro,[]
6,P. Míguez,"[('sub-out', ""67'"")]",25,J. Damm,"[('sub-out', ""89'"")]"
16,D. Toledo,"[('yellow-card', ""19'"")]",10,A. Gignac,"[('sub-out', ""84'"")]"
9,J. Amione,"[('sub-out', ""46'"")]",26,E. Vargas,"[('sub-out', ""76'"")]"
34,G. Esparza,[],23,L. Quiñónes,"[('yellow-card', ""38'"")]"
