"
Chiapas
","
Pumas
"
Starting XI
23,M. Muñoz,[],13,A. Saldívar,[]
34,A. Mosquera,[],4,D. Verón,[]
2,B. Angulo,[],18,J. García,[]
20,F. Araújo,[],3,G. Alcoba,[]
15,Bruno Pires,"[('sub-out', ""68'"")]",10,Abraham,"[('yellow-card', ""81'"")]"
28,Lucas Silva,[],6,K. Escamilla,[]
18,D. Villalpando,[],17,J. Gallardo,[]
12,L. Miño,"[('sub-out', ""55'"")]",5,A. Mendoza,[]
19,F. Micolta,[],11,B. Rabello,"[('sub-out', ""90'"")]"
7,L. Mendoza,[],8,P. Barrera,[]
9,E. Esqueda,"[('sub-out', ""46'"")]",20,M. Britos,"[('sub-out', ""74'"")]"
