"
Tigres UANL
","
León
"
Starting XI
1,N. Guzmán,[],25,W. Yarbrough,[]
3,Juninho,"[('yellow-card', ""54'"")]",35,Juan González,"[('yellow-card', ""59'"")]"
4,H. Ayala,[],3,G. Burdisso,[]
6,Jorge Torres,"[('sub-out', ""78'"")]",24,O. Rodríguez,"[('yellow-card', ""84'"")]"
29,J. Dueñas,[],23,J. Cornejo,[]
8,L. Zelarrayán,"[('sub-out', ""76'"")]",15,C. Guzmán,[]
20,J. Aquino,[],27,C. Peña,"[('sub-out', ""69'"")]"
19,G. Pizarro,[],8,Elías Hernández,"[('sub-out', ""90'+"")]"
28,L. Rodríguez,"[('sub-out', ""46'"")]",10,L. Montes,"[('sub-out', ""88'"")]"
10,A. Gignac,[],11,A. Andrade,"[('yellow-card', ""38'"")]"
18,I. Sosa,[],26,C. Valdéz,[]
