"
Tigres UANL","
Pumas
"
Starting XI
1,N. Guzmán,[],13,A. Saldívar,[]
4,H. Ayala,[],4,D. Verón,[]
3,Juninho,[],89,P. Jaquez,"[('yellow-card', ""60'"")]"
6,Jorge Torres,[],2,J. Van Rankin,[]
29,J. Dueñas,"[('sub-out', ""46'"")]",5,A. Mendoza,"[('sub-out', ""79'"")]"
19,G. Pizarro,[],10,Abraham,"[('yellow-card', ""28'"")]"
28,L. Rodríguez,[],17,J. Gallardo,[]
20,J. Aquino,[],6,K. Escamilla,"[('yellow-card', ""3'""), ('sub-out', ""64'"")]"
10,A. Gignac,[],7,J. Cortés,[]
18,I. Sosa,"[('sub-out', ""69'"")]",11,B. Rabello,[]
26,E. Vargas,[],20,M. Britos,[]
