"
Toluca
","
Monterrey
"
Starting XI
1,A. Talavera,[],1,H. González,[]
5,O. González,[],25,N. Sánchez,[]
29,Rodrigo Salinas,"[('yellow-card', ""90'+"")]",6,E. Juárez,"[('yellow-card', ""31'"")]"
2,E. Velarde,[],18,L. Fuentes,[]
4,P. Da Silva,"[('yellow-card', ""9'"")]",3,C. Montes,[]
83,J. Delgadillo,"[('yellow-card', ""47'"")]",13,C. Sánchez,"[('sub-out', ""65'"")]"
24,P. Barrientos,[],21,J. Molina,"[('yellow-card', ""28'"")]"
25,J. Méndez,[],5,W. Gargano,[]
26,E. Trejo,"[('sub-out', ""83'"")]",10,E. Cardona,"[('sub-out', ""81'"")]"
20,F. Uribe,"[('sub-out', ""77'"")]",23,Y. Chará,"[('sub-out', ""90'"")]"
7,Gabriel Hauche,[],7,Rogelio Funes Mori,[]
