"
Columbus Crew
","
Chicago Fire
"
Starting XI
23,Z. Steffen,[],1,J. Bava,[]
4,J. Mensah,[],5,M. Harrington,[]
24,N. Næss ,[],66,João Meira,[]
2,J. Raitala,[],3,B. Vincent,[]
25,H. Afful,[],4,J. Kappelhof,[]
8,M. Abu,"[('sub-out', ""76'"")]",6,D. McCarty,[]
9,Justin Meram,[],12,A. Álvarez,"[('sub-out', ""74'"")]"
10,F. Higuaín,"[('yellow-card', ""41'"")]",7,J. Goossens,"[('yellow-card', ""81'""), ('sub-out', ""90'+"")]"
20,W. Trapp,[],23,N. Nikolić,"[('sub-out', ""90'+"")]"
13,E. Finlay,[],11,D. Accam,[]
11,O. Kamara,"[('sub-out', ""70'"")]",8,M. de Leeuw,[]
