"
SJ Earthquakes
","
Montreal Impact
"
Starting XI
1,D. Bingham,[],1,E. Bush,[]
20,S. Francis,[],6,H. Camara,"[('yellow-card', ""45'+""), ('sec-yellow-card', ""66'"")]"
5,V. Bernárdez,[],18,C. Duvall,"[('yellow-card', ""14'"")]"
23,F. Jungwirth,[],2,A. Oyongo,[]
24,N. Lima,[],23,L. Ciman,[]
22,T. Thompson,"[('sub-out', ""69'"")]",10,I. Piatti,[]
49,S. Dawkins,"[('sub-out', ""70'"")]",8,P. Bernier,"[('sub-out', ""74'"")]"
30,A. Godoy,[],33,M. Donadel,[]
27,F. Alashe,"[('yellow-card', ""35'"")]",30,H. Bernardello,"[('sub-out', ""83'"")]"
21,M. Ureña,"[('sub-out', ""79'"")]",7,D. Oduro,"[('sub-out', ""63'"")]"
8,C. Wondolowski,[],21,M. Mancosu,"[('yellow-card', ""83'"")]"
