"
Montreal Impact
","
Seattle Sounders
"
Starting XI
1,E. Bush,[],24,S. Frei,[]
2,A. Oyongo,[],29,R. Torres,"[('sub-out', ""85'"")]"
36,V. Cabrera,"[('sub-out', ""84'"")]",14,C. Marshall,[]
18,C. Duvall,[],33,J. Jones,[]
23,L. Ciman,"[('yellow-card', ""11'"")]",7,C. Roldan,[]
8,P. Bernier,"[('sub-out', ""59'"")]",19,H. Shipp,"[('sub-out', ""72'"")]"
30,H. Bernardello,[],10,N. Lodeiro,[]
10,I. Piatti,[],4,G. Svensson,"[('sub-out', ""59'"")]"
33,M. Donadel,[],6,O. Alonso,[]
7,D. Oduro,"[('sub-out', ""67'"")]",2,C. Dempsey,[]
21,M. Mancosu,"[('yellow-card', ""65'"")]",13,J. Morris,[]
