"
Sporting KC","
Dallas
"
Starting XI
29,T. Melia,[],1,J. Gonzalez,[]
3,I. Opara,[],24,M. Hedges,[]
5,M. Besler,[],14,A. Harris,"[('yellow-card', ""69'"")]"
15,S. Sinovic,"[('yellow-card', ""79'"")]",31,M. Figueroa,"[('yellow-card', ""29'"")]"
94,J. Medranda,"[('sub-out', ""67'"")]",33,A. Guillen,"[('yellow-card', ""4'"")]"
27,R. Espinoza,[],7,C. Gruezo,"[('yellow-card', ""86'"")]"
10,B. Feilhaber,[],19,P. Pomykal,"[('sub-out', ""80'"")]"
6,Ilie,[],15,J. Hayes,"[('sub-out', ""46'"")]"
8,G. Zusi,[],5,C. Cermeño,"[('yellow-card', ""90'+"")]"
7,Gerso Fernandes,"[('yellow-card', ""90'+"")]",13,T. Akindele,[]
14,D. Dwyer,"[('yellow-card', ""81'"")]",9,C. Colmán,"[('sub-out', ""63'"")]"
