"
Grêmio
","
Deportes Iquique
"
Starting XI
1,Marcelo Grohe,[],12,B. Cortés,[]
15,Rafael Thyere,[],16,E. Guerrero,[]
4,W. Kannemann,[],26,H. Lópes,"[('yellow-card', ""67'"")]"
26,Marcelo Oliveira,"[('yellow-card', ""42'"")]",5,R. Caroca,"[('yellow-card', ""72'"")]"
2,Edílson,[],8,M. Zenteno,"[('yellow-card', ""69'"")]"
16,Leo Moura,"[('sub-out', ""57'"")]",13,T. Charles,"[('yellow-card', ""79'"")]"
17,Ramiro,"[('yellow-card', ""82'"")]",22,D. Torres,"[('sub-out', ""46'"")]"
8,Maicon,"[('sub-out', ""69'"")]",20,L. Bustamante,"[('yellow-card', ""90'+"")]"
23,M. Bolaños,"[('yellow-card', ""69'""), ('sub-out', ""80'"")]",11,A. Ramos,[]
7,Luan,[],15,F. Reynero,"[('sub-out', ""46'"")]"
9,Pedro Rocha,[],14,M. Dávila,[]
