"
Tottenham Hotspur
","
Wycombe Wanderers
"
Starting XI
13,M. Vorm,[],27,J. Blackman,[]
33,B. Davies,[],2,Sido Jombarti,"[('yellow-card', ""42'"")]"
16,K. Trippier,[],5,A. Stewart,"[('yellow-card', ""90'+"")]"
27,K. Wimmer,"[('sub-out', ""61'"")]",6,A. Pierre,[]
38,C. Carter-Vickers,[],3,J. Jacobson,"[('yellow-card', ""83'"")]"
29,H. Winks,"[('yellow-card', ""54'"")]",17,L. O'Nien,"[('yellow-card', ""54'"")]"
17,M. Sissoko,[],25,D. Gape,"[('yellow-card', ""78'"")]"
15,E. Dier,[],11,S. Wood,[]
25,J. Onomah,"[('sub-out', ""61'"")]",9,P. Hayes,"[('sub-out', ""77'"")]"
7,Heung-Min Son,[],24,S. Kashket,"[('sub-out', ""77'"")]"
14,G. N'Koudou,"[('sub-out', ""46'"")]",20,A. Akinfenwa,"[('sub-out', ""68'"")]"
