"
Sutton United
","
Leeds United
"
Starting XI
1,R. Worner,[],12,M. Silvestri,[]
15,C. Eastmond,"[('sub-out', ""90'+"")]",6,L. Cooper,"[('yellow-card', ""18'""), ('sec-yellow-card', ""82'"")]"
17,D. Spence,[],33,T. Denton,"[('yellow-card', ""32'"")]"
2,K. Amankwaah,[],31,L. Coyle,[]
27,S. Downer,[],34,P. McKay,[]
12,A. May,[],15,S. Dallas,"[('sub-out', ""57'"")]"
16,N. Bailey,"[('yellow-card', ""76'"")]",16,M. Grimes,[]
21,R. Deacon,"[('yellow-card', ""40'"")]",23,K. Phillips,[]
8,B. Gomis,[],37,B. Whitehouse,"[('sub-out', ""73'"")]"
6,J. Collins,[],10,M. Antonsson,[]
24,M. Biamou,[],11,S. Doukara,"[('sub-out', ""64'"")]"
