"
Lincoln City","
Brighton & Hove Albion
"
Starting XI
1,P. Farman,[],1,N. Mäenpää,"[('sub-out', ""56'"")]"
2,B. Wood,"[('yellow-card', ""41'"")]",27,F. Tomori,"[('yellow-card', ""37'"")]"
5,L. Waterfall,[],18,C. Goldson,[]
25,S. Raggett,[],4,U. Hünemeier,[]
3,S. Habergham,[],44,S. Adekugbe,[]
8,A. Power,"[('yellow-card', ""35'""), ('sub-out', ""90'+"")]",8,J. Skalák,"[('sub-out', ""68'"")]"
30,A. Woodyard,[],29,R. Towell,"[('yellow-card', ""24'""), ('sub-out', ""68'"")]"
28,N. Arnold,[],21,O. Norwood,"[('yellow-card', ""90'"")]"
11,T. Hawkridge,[],14,S. Sidwell,[]
9,M. Rhead,"[('sub-out', ""88'"")]",20,S. March,[]
31,T. Robinson,"[('sub-out', ""87'"")]",17,G. Murray,"[('yellow-card', ""53'"")]"
