"
Millwall","
Watford
"
Starting XI
1,J. Archer,[],30,C. Pantilimon,"[('sub-out', ""42'"")]"
2,S. Cummings,[],32,B. Mason,"[('yellow-card', ""81'"")]"
5,T. Craig,[],6,A. Mariappa,[]
17,B. Webster,[],3,M. Britos,"[('yellow-card', ""66'"")]"
24,J. Cooper,[],4,Y. Kaboul,[]
8,B. Thompson,[],26,B. Dja Djédjé,"[('sub-out', ""69'"")]"
6,S. Williams,[],23,B. Watson,[]
10,F. Onyedinma,"[('sub-out', ""72'"")]",16,A. Doucouré,"[('yellow-card', ""90'+"")]"
22,A. O'Brien,"[('sub-out', ""71'"")]",17,A. Guédioura,[]
9,L. Gregory,"[('sub-out', ""90'+"")]",33,S. Okaka,[]
20,S. Morison,[],19,J. Sinclair,"[('sub-out', ""77'"")]"
