"
Houston Dynamo
","
Columbus Crew
"
Starting XI
1,T. Deric,[],23,Z. Steffen,[]
22,Leonardo,[],4,J. Mensah,"[('red-card', ""87'"")]"
15,D. Remick,[],2,J. Raitala,"[('yellow-card', ""72'"")]"
3,A. Machado,[],24,N. Næss ,[]
20,A. DeLaGarza,[],25,H. Afful,"[('sub-out', ""46'"")]"
13,R. Clark,[],13,E. Finlay,"[('yellow-card', ""59'"")]"
14,Alex,[],10,F. Higuaín,[]
6,E. Alexander,"[('sub-out', ""70'"")]",7,Artur,"[('sub-out', ""58'"")]"
12,R. Quioto,[],20,W. Trapp,"[('sub-out', ""65'"")]"
17,A. Elis,"[('yellow-card', ""68'""), ('sub-out', ""75'"")]",9,Justin Meram,[]
9,E. Torres,"[('sub-out', ""81'"")]",11,O. Kamara,[]
