"
New York RB
","
DC United
"
Starting XI
31,L. Robles,[],28,B. Hamid,[]
92,K. Lawrence,"[('yellow-card', ""56'"")]",5,S. Franklin,"[('yellow-card', ""80'"")]"
33,A. Long,[],2,T. Kemp,[]
78,A. Collin,[],32,B. Boswell,[]
15,S. Zizzo,[],15,S. Birnbaum,"[('sub-out', ""90'+"")]"
8,Felipe Martins,"[('yellow-card', ""40'"")]",25,J. Jeffrey,[]
77,D. Royer,"[('sub-out', ""70'"")]",23,I. Harkes,[]
4,T. Adams,[],14,N. DeLeon,"[('sub-out', ""48'"")]"
16,S. Klještan,"[('yellow-card', ""45'+""), ('sub-out', ""88'"")]",8,L. Sam,[]
19,A. Muyl,[],10,L. Acosta,"[('yellow-card', ""52'"")]"
99,B. Wright-Phillips,"[('sub-out', ""80'"")]",9,J. Ortiz,"[('sub-out', ""65'"")]"
