"
Orlando City
","
LA Galaxy"
Starting XI
1,J. Bendik,[],31,C. Diop,[]
21,S. Sutter,[],37,J. Van Damme,"[('yellow-card', ""52'"")]"
2,J. Spector,[],16,N. Smith,[]
29,T. Redding,[],3,A. Cole,[]
25,D. Toia,[],5,D. Steres,[]
8,W. Johnson,[],13,J. Jones,[]
11,C. Rivas,"[('sub-out', ""75'"")]",24,E. Boateng,"[('sub-out', ""68'"")]"
7,C. Higuita,"[('sub-out', ""72'"")]",7,R. Alessandrini,[]
23,A. Nocerino,[],8,João Pedro,"[('yellow-card', ""64'"")]"
14,G. Barnes,"[('sub-out', ""90'"")]",10,G. dos Santos,[]
9,C. Larin,[],11,G. Zardes,"[('sub-out', ""90'"")]"
