"
Wilstermann
","
Atlético Tucumán
"
Starting XI
1,R. Olivares,[],1,C. Lucchetti,[]
22,E. Zenteno,"[('yellow-card', ""34'"")]",24,L. Di Plácido,[]
2,Alex Silva,[],3,F. Evangelista,[]
28,O. Morales,[],2,B. Bianchi,[]
23,F. Saucedo,[],13,M. Rosales,"[('sub-out', ""77'"")]"
4,J. Aponte,[],5,N. Leyes,[]
14,J. Ortíz,"[('sub-out', ""54'"")]",6,J. Palomino,[]
15,C. Machado,[],18,R. Aliendro,"[('yellow-card', ""38'""), ('sub-out', ""60'"")]"
30,R. Cardozo,[],19,D. Barbona,[]
7,M. Bergese,"[('sub-out', ""90'+"")]",9,F. Zampedri,[]
18,L. Cabezas,[],20,Fabio Álvarez,"[('sub-out', ""83'"")]"
