90' + 6',red-card,Red Card Kévin Malcuit ;
84',substitution,;
81',substitution,;
80',substitution,;
77',assist,Assist Kévin Malcuit ;
77',goal,Goal Oussama Tannane ;
74',yellow-card,Yellow Card Pierrick Capelle ;
69',substitution,;
67',yellow-card,Yellow Card Pablo Martinez ;
66',substitution,;
61',substitution,;
59',assist,Assist Henri Saivet ;
59',goal,Goal Florentin Pogba  ;
47',yellow-card,Yellow Card Kévin Malcuit ;
45',yellow-card,Yellow Card Léo Lacroix ;
24',yellow-card,Yellow Card Vincent Manceau ;
18',assist,Assist Pierrick Capelle ;
18',goal,Goal Nicolas Pepe ;
12',missed-penalty,Missed Penalty Famara Diedhiou ;
12',penalty-save,Penalty save Stéphane Ruffier ;
11',yellow-card,Yellow Card Bryan Dabo ;
