89',red-card,Red Card Fabrizio Cacciatore.
85',assist,Assist Valter Birsa.
85',goal,Goal Roberto Inglese.
82',substitution,Substitution Marco Benassi Afriyie Acquah .
81',substitution,Substitution Jonathan De Guzmán Lamin Jallow .
69',substitution,Substitution Iago Falqué Lucas Boyé .
69',substitution,Substitution Riccardo Meggiorini Roberto Inglese .
64',yellow-card,Yellow Card Leandro Castán.
58',substitution,Substitution Daniele Baselli J. Obi .
46',substitution,Substitution Mariano Julio Izco Riccardo Meggiorini .
38',goal,Goal Iago Falqué.
35',assist,Assist Antonio Barreca.
35',goal,Goal Iago Falqué.
24',yellow-card,Yellow Card Dario Dainelli.
13',yellow-card,Yellow Card Adem Ljajic.
