"
Caen
","
Lille
"
Starting XI
1,R. Vercoutre,[],1,V. Enyeama,[]
28,D. Da Silva,[],2,S. Corchia,[]
13,S. Ben Youssef,[],25,M. Baša,[]
5,A. Yahia,"[('yellow-card', ""55'""), ('sub-out', ""73'"")]",23,A. Soumaoro,"[('red-card', ""63'"")]"
24,F. Guilbert,[],18,F. Béria,[]
11,V. Bessat,[],8,Xeka,[]
25,J. Féret,[],11,E. Bauthéac,"[('sub-out', ""79'"")]"
17,J. Makengo,"[('sub-out', ""36'"")]",6,I. Amadou,[]
7,Y. Karamoh,[],12,N. de Préville,"[('sub-out', ""86'"")]"
26,I. Santini,[],9,Y. Benzia,"[('sub-out', ""71'"")]"
20,H. Bazile,"[('sub-out', ""10'"")]",7,A. El Ghazi,"[('yellow-card', ""31'"")]"
