"
Guingamp
","
Monaco
"
Starting XI
1,K. Johnsson,"[('yellow-card', ""86'"")]",1,D. Subašić,[]
29,C. Kerbrat,[],19,D. Sidibé,"[('yellow-card', ""64'"")]"
2,J. Ikoko,"[('yellow-card', ""62'"")]",5,Jemerson,[]
3,Fernando Marçal,[],2,Fabinho,"[('yellow-card', ""33'"")]"
15,J. Sorbon,[],25,K. Glik,[]
24,M. Coco,"[('sub-out', ""83'"")]",38,A. Touré,[]
8,L. Deaux,"[('sub-out', ""46'"")]",27,T. Lemar,"[('sub-out', ""74'"")]"
5,M. Diallo,[],8,João Moutinho,[]
17,E. Didot,"[('yellow-card', ""90'+"")]",10,Bernardo Silva,[]
19,Y. Salibur,"[('sub-out', ""83'"")]",18,V. Germain,"[('sub-out', ""74'"")]"
23,J. Briand,[],9,R. Falcao,"[('sub-out', ""83'"")]"
