"
Nantes","
PSG
"
Starting XI
30,M. Dupé,[],1,K. Trapp,[]
3,Diego Carlos,"[('yellow-card', ""65'"")]",17,Maxwell,[]
26,K. Djidji,[],5,Marquinhos,[]
15,L. Dubois,[],12,T. Meunier,[]
6,Lucas Lima,[],2,Thiago Silva,[]
27,G. Gillet,[],7,Lucas Moura,[]
7,J. Iloki,"[('sub-out', ""46'"")]",14,B. Matuidi,[]
28,V. Rongier,[],23,J. Draxler,"[('sub-out', ""69'"")]"
14,A. Harit,"[('sub-out', ""74'"")]",8,T. Motta,[]
10,Y. Bammou,"[('sub-out', ""67'"")]",6,M. Verratti,"[('yellow-card', ""30'""), ('sub-out', ""76'"")]"
9,E. Sala,[],9,E. Cavani,"[('sub-out', ""83'"")]"
