"
Toulouse
","
Saint-Étienne
"
Starting XI
40,A. Lafont,"[('yellow-card', ""9'"")]",30,J. Moulin,[]
5,I. Diop,[],19,F. Pogba,[]
6,C. Jullien,[],2,K. Théophile Catherine,"[('yellow-card', ""57'"")]"
2,K. Adou,[],24,L. Perrin,[]
29,F. Moubandje,[],25,K. Malcuit,"[('yellow-card', ""26'"")]"
19,Somália,"[('red-card', ""47'"")]",14,J. Veretout,"[('yellow-card', ""12'""), ('sub-out', ""69'"")]"
21,J. Durmaz,"[('sub-out', ""70'"")]",17,O. Selnæs,[]
15,C. Jean,"[('sub-out', ""64'"")]",21,R. Hamouma,"[('sub-out', ""82'"")]"
27,A. Blin,[],9,N. Roux,"[('yellow-card', ""51'"")]"
10,O. Trejo,"[('sub-out', ""75'"")]",22,K. Monnet-Paquet,[]
9,M. Braithwaite,"[('yellow-card', ""60'"")]",32,H. Keyta,"[('sub-out', ""73'"")]"
