"
Saint-Étienne
","
Guingamp
"
Starting XI
16,S. Ruffier,[],1,K. Johnsson,[]
25,K. Malcuit,"[('sub-out', ""81'"")]",3,Fernando Marçal,"[('yellow-card', ""40'"")]"
24,L. Perrin,[],2,J. Ikoko,"[('sub-out', ""82'"")]"
12,C. M'Bengue,[],15,J. Sorbon,[]
2,K. Théophile Catherine,[],29,C. Kerbrat,[]
19,F. Pogba,[],17,E. Didot,"[('sub-out', ""59'"")]"
5,V. Pajot,[],24,M. Coco,"[('sub-out', ""78'"")]"
14,J. Veretout,[],8,L. Deaux,[]
23,A. Søderlund,"[('sub-out', ""70'"")]",5,M. Diallo,"[('yellow-card', ""72'"")]"
10,O. Tannane,[],19,Y. Salibur,[]
21,R. Hamouma,"[('sub-out', ""75'"")]",23,J. Briand,[]
