"
Bastia
","
Metz
"
Starting XI
16,J. Leca,[],1,T. Didillon,[]
23,A. Djiku,[],3,J. Rivierez,[]
17,M. Peybernes,[],5,G. Milán,[]
20,P. Bengtsson,[],32,B. Assou-Ekotto,[]
4,A. El Kaoutari,"[('sub-out', ""16'"")]",4,M. Biševac,[]
6,A. Saint-Maximin,[],24,R. Cohade,"[('yellow-card', ""45'"")]"
8,G. Danic,"[('yellow-card', ""83'"")]",14,G. Mandjeck,[]
25,L. Coulibaly,"[('yellow-card', ""22'"")]",7,G. Hein,"[('sub-out', ""63'"")]"
14,M. Mostefa,[],10,C. Doukouré,"[('sub-out', ""76'"")]"
27,E. Crivelli,"[('sub-out', ""85'"")]",11,O. N'Guette,"[('yellow-card', ""52'""), ('sub-out', ""81'"")]"
2,S. Diallo,"[('sub-out', ""67'"")]",17,H. Diallo,[]
