"
Dijon
","
Olympique Marseille"
Starting XI
30,B. Reynet,[],16,Y. Pelé,[]
27,C. Varrault,[],2,H. Sakai,[]
2,Á. Lang,"[('yellow-card', ""36'"")]",24,R. Fanni,[]
5,Q. Bernard,[],6,Rolando,[]
26,F. Chafik,[],15,T. Hubočan,"[('yellow-card', ""74'"")]"
18,F. Sammaritano,"[('sub-out', ""67'"")]",27,M. Lopez,"[('sub-out', ""89'"")]"
14,J. Marié,"[('sub-out', ""46'"")]",26,F. Thauvin,"[('sub-out', ""70'"")]"
8,P. Lees Melou,"[('sub-out', ""83'"")]",19,W. Vainqueur,"[('yellow-card', ""77'"")]"
17,M. Abeid,[],29,A. Zambo Anguissa,[]
11,Júlio Tavares,[],18,B. Gomis,[]
9,L. Diony,[],14,C. N'Jie,"[('sub-out', ""79'"")]"
