"
Olympique Lyonnais
","
PSG
"
Starting XI
1,Anthony Lopes,[],16,A. Areola,[]
15,J. Morel,[],5,Marquinhos,[]
5,M. Diakhaby,[],17,Maxwell,[]
31,M. Rybus,"[('sub-out', ""46'"")]",19,S. Aurier,"[('yellow-card', ""83'"")]"
20,Rafael,[],2,Thiago Silva,"[('yellow-card', ""86'"")]"
2,M. Yanga-Mbiwa,[],6,M. Verratti,"[('yellow-card', ""89'"")]"
21,M. Gonalons,[],14,B. Matuidi,"[('yellow-card', ""43'"")]"
12,J. Ferri,"[('yellow-card', ""45'+""), ('sub-out', ""46'"")]",7,Lucas Moura,"[('sub-out', ""85'"")]"
8,C. Tolisso,[],21,H. Ben Arfa,"[('yellow-card', ""19'""), ('sub-out', ""65'"")]"
10,A. Lacazette,[],8,T. Motta,"[('yellow-card', ""75'"")]"
11,R. Ghezzal,"[('sub-out', ""81'"")]",9,E. Cavani,"[('sub-out', ""90'+"")]"
