"
Monaco
","
Nice
"
Starting XI
1,D. Subašić,[],30,Y. Cardinale,[]
5,Jemerson,"[('yellow-card', ""57'"")]",2,A. Souquet,[]
25,K. Glik,[],4,P. Baysse,[]
23,B. Mendy,[],29,Dalbert Henrique,[]
2,Fabinho,[],31,Dante,[]
19,D. Sidibé,[],32,M. Sarr,"[('sub-out', ""64'"")]"
10,Bernardo Silva,"[('sub-out', ""88'"")]",25,W. Cyprien,[]
27,T. Lemar,[],6,J. Seri,"[('yellow-card', ""13'"")]"
14,T. Bakayoko,[],13,V. Eysseric,[]
9,R. Falcao,"[('sub-out', ""90'"")]",14,A. Plea,[]
18,V. Germain,"[('sub-out', ""77'"")]",9,M. Balotelli,[]
