"
Nancy
","
Bastia
"
Starting XI
1,S. Chernik,[],16,J. Leca,[]
26,V. Muratori,[],23,A. Djiku,[]
4,M. Diagne,[],28,F. Marange,"[('sub-out', ""17'"")]"
14,J. Cuffaut,[],29,G. Cioni,[]
3,T. Badila,[],12,A. Keita,[]
18,D. Guidileye,"[('yellow-card', ""24'""), ('sub-out', ""66'"")]",14,M. Mostefa,[]
11,K. Coulibaly,[],6,A. Saint-Maximin,"[('red-card', ""86'"")]"
10,I. Dia,"[('sub-out', ""75'"")]",18,Y. Cahuzac,"[('sub-out', ""70'"")]"
25,B. Pedretti,[],8,G. Danic,[]
5,A. Diarra,"[('yellow-card', ""29'"")]",27,E. Crivelli,[]
12,C. Mandanne,"[('sub-out', ""46'"")]",2,S. Diallo,"[('sub-out', ""61'"")]"
