"
Lorient
","
Guingamp
"
Starting XI
40,B. Lecomte,[],1,K. Johnsson,[]
20,S. Moreira,[],15,J. Sorbon,[]
24,W. Lautoa,"[('sub-out', ""69'"")]",29,C. Kerbrat,[]
25,V. Le Goff,[],4,B. Angoua,"[('sub-out', ""84'"")]"
13,M. Ciani,[],3,Fernando Marçal,[]
15,M. Peybernes,[],8,L. Deaux,"[('yellow-card', ""86'"")]"
27,J. Cabot,"[('sub-out', ""90'"")]",5,M. Diallo,[]
7,A. Mvuemba,"[('yellow-card', ""79'"")]",17,E. Didot,"[('yellow-card', ""48'""), ('sub-out', ""73'"")]"
17,W. Mesloub,[],21,L. Blas,[]
10,S. Marveaux,"[('sub-out', ""86'"")]",23,J. Briand,"[('yellow-card', ""19'"")]"
9,A. Waris,"[('yellow-card', ""58'"")]",19,Y. Salibur,[]
