"
Sparta Rotterdam
","
Roda JC"
Starting XI
1,R. Kortsmit,[],1,B. van Leer,[]
8,M. Dijkstra,[],20,D. Werker,"[('yellow-card', ""60'"")]"
5,M. Breuer,[],3,C. Kum,[]
2,S. Floranus,[],2,M. Milec,"[('yellow-card', ""55'"")]"
3,R. van Drongelen,[],5,A. van Peppen,[]
6,B. Vriends,"[('sub-out', ""46'"")]",8,A. Auassar,"[('yellow-card', ""86'"")]"
10,S. Spierings,[],16,Marcos Gullón,"[('yellow-card', ""65'"")]"
4,K. Dougall,[],14,A. Ajagun,"[('sub-out', ""84'"")]"
7,T. Verhaar,"[('sub-out', ""63'"")]",11,N. Mytides,"[('sub-out', ""69'"")]"
9,Z. El Azzouzi,"[('sub-out', ""63'"")]",17,M. Rosheuvel,[]
11,C. Goodwin,[],21,D. Boysen,"[('sub-out', ""84'"")]"
