"
Go Ahead Eagles
","
Heerenveen"
Starting XI
1,T. Zwarthoed,[],1,E. Mulder,[]
3,S. Fischer,"[('yellow-card', ""81'"")]",5,L. Bijker,[]
35,R. Achenteh,[],16,J. St. Juste,"[('sub-out', ""70'"")]"
32,J. Groenbast,[],2,S. Marzo,[]
4,X. Schenk,[],4,J. van Aken,[]
6,S. Duits,[],21,Y. Kobayashi,[]
24,M. Ritzmaier,[],18,Y. Namli,[]
19,S. Hendriks,"[('sub-out', ""70'"")]",11,S. Larsson,[]
77,J. Antonia,[],13,A. Zeneli,"[('sub-out', ""77'"")]"
14,D. Maatsen,[],9,R. Ghoochannejhad,[]
11,R. Wolters,"[('yellow-card', ""58'""), ('sub-out', ""82'"")]",19,P. van Amersfoort,"[('yellow-card', ""72'""), ('sub-out', ""86'"")]"
