"
AZ","
Sparta Rotterdam
"
Starting XI
1,S. Rochet,[],1,R. Kortsmit,[]
23,D. Luckassen,[],5,M. Breuer,"[('yellow-card', ""59'""), ('sub-out', ""69'"")]"
2,M. Johansson,[],8,M. Dijkstra,"[('yellow-card', ""88'"")]"
5,R. Haps,[],3,S. Floranus,[]
6,B. Rienstra,[],2,D. Dumfries,[]
20,M. Seuntjens,[],6,R. van Drongelen,"[('yellow-card', ""81'"")]"
30,S. Wuytens,[],9,P. van Moorsel,[]
21,R. Mühren,"[('sub-out', ""76'"")]",4,R. Sanusi,"[('sub-out', ""61'"")]"
7,A. Jahanbakhsh,"[('sub-out', ""90'+"")]",10,S. Spierings,[]
11,M. Tankovic,"[('sub-out', ""79'"")]",7,T. Verhaar,[]
9,W. Weghorst,[],11,Iván Calero,"[('sub-out', ""80'"")]"
