"
AZ
","
PEC Zwolle
"
Starting XI
24,T. Krul,[],1,M. van der Hart,[]
23,D. Luckassen,"[('yellow-card', ""75'"")]",2,B. van Polen,[]
17,J. Svensson,"[('sub-out', ""62'"")]",21,D. Warmerdam,[]
5,R. Haps,[],4,D. Marcellis,"[('yellow-card', ""40'""), ('sub-out', ""71'"")]"
3,R. van Eijden,"[('yellow-card', ""90'+"")]",6,M. Saymak,"[('sub-out', ""90'+"")]"
18,I. Bel Hassani,"[('sub-out', ""56'"")]",15,O. Bouy,[]
15,G. Til,"[('sub-out', ""71'"")]",23,D. Holla,"[('yellow-card', ""26'"")]"
6,B. Rienstra,[],20,K. Ehizibue,"[('yellow-card', ""33'""), ('sub-out', ""90'"")]"
30,S. Wuytens,[],30,R. Thomas,[]
28,L. Garcia,[],44,N. Brock-Madsen,[]
9,W. Weghorst,[],11,Q. Menig,[]
