"
PEC Zwolle
","
Excelsior
"
Starting XI
1,M. van der Hart,[],25,W. Hahn,[]
2,B. van Polen,"[('yellow-card', ""41'"")]",2,K. Karami,[]
4,D. Marcellis,"[('yellow-card', ""53'"")]",30,J. de Wijs,[]
5,C. Verdonk,"[('sub-out', ""79'"")]",15,J. Mattheij,[]
21,D. Warmerdam,[],23,M. Massop,[]
6,M. Saymak,[],10,L. Bruins,"[('yellow-card', ""10'"")]"
23,D. Holla,[],8,R. Koolwijk,"[('sub-out', ""78'"")]"
15,O. Bouy,[],24,H. Faik,[]
11,Q. Menig,[],29,M. van Duinen,"[('sub-out', ""65'"")]"
44,N. Brock-Madsen,"[('yellow-card', ""31'""), ('sub-out', ""79'"")]",11,S. Elbers,"[('sub-out', ""84'"")]"
7,Y. Mokhtar,"[('sub-out', ""66'"")]",17,Fredy,[]
