"
Ajax
","
Feyenoord
"
Starting XI
24,A. Onana,[],25,B. Jones,[]
5,D. Sánchez,[],33,Eric Botteghin,[]
26,N. Viergever,[],18,M. Nelom,[]
3,J. Veltman,"[('yellow-card', ""30'"")]",6,J. van der Heijden,"[('yellow-card', ""74'"")]"
22,H. Ziyech,[],2,R. Karsdorp,"[('sub-out', ""46'"")]"
10,D. Klaassen,[],26,B. Nieuwkoop,"[('sub-out', ""89'"")]"
8,D. Sinkgraven,[],8,K. El Ahmadi,"[('yellow-card', ""18'"")]"
45,J. Kluivert,"[('sub-out', ""81'"")]",28,J. Toornstra,[]
9,B. Traoré,"[('sub-out', ""89'"")]",19,S. Berghuis,"[('yellow-card', ""31'"")]"
20,L. Schöne,[],7,D. Kuijt,[]
7,David Neres,"[('sub-out', ""64'"")]",9,N. Jørgensen,"[('sub-out', ""11'"")]"
