"
Willem II
","
ADO Den Haag"
Starting XI
1,K. Lamprou,[],22,R. Zwinkels,[]
46,P. van Anholt,[],3,T. Meißner,[]
29,D. Lachman,[],28,T. Ebuehi,[]
4,J. Peters,[],8,A. Meijers,[]
24,G. Joppen,"[('sub-out', ""29'"")]",5,W. Kanon,[]
20,A. Kali,[],2,D. Malone,[]
10,E. Falkenburg,[],17,D. Bakker,[]
8,T. Haye,"[('yellow-card', ""59'"")]",9,M. Havenaar,"[('sub-out', ""80'"")]"
6,F. Ojo,[],21,E. Duplan,"[('sub-out', ""74'"")]"
14,J. Croux,[],23,A. El Khayati,"[('sub-out', ""87'"")]"
58,O. Oularé,"[('sub-out', ""67'"")]",77,S. Becker,"[('yellow-card', ""90'+"")]"
