"
NEC
","
Twente"
Starting XI
1,J. Delle,[],1,N. Marsman,[]
3,D. Dumić,[],25,P. Bijen,[]
24,A. Fomitschow,[],5,S. Thesker,[]
4,W. Golla,[],2,H. ter Avest,[]
6,M. Dyrestam,[],28,J. van der Lely,[]
8,Janio Bikel,[],22,K. Mokotjo,[]
34,G. Breinburg,[],7,C. Ede,"[('sub-out', ""72'"")]"
19,J. von Haacke,"[('sub-out', ""66'"")]",43,M. Klich,[]
18,K. Mayi,"[('sub-out', ""84'"")]",14,Y. Yeboah,"[('sub-out', ""46'"")]"
20,M. Rayhi,[],17,E. Ünal,[]
17,J. Grot,"[('yellow-card', ""15'""), ('sub-out', ""66'"")]",10,B. Celina,[]
