"
Chelsea","
Tottenham Hotspur
"
Starting XI
13,T. Courtois,[],1,H. Lloris,[]
28,Azpilicueta,[],5,J. Vertonghen,[]
30,David Luiz,"[('yellow-card', ""19'"")]",2,K. Walker,[]
24,G. Cahill,[],27,K. Wimmer,[]
3,Marcos Alonso,[],23,C. Eriksen,[]
15,V. Moses,"[('sub-out', ""81'"")]",19,M. Dembélé,"[('yellow-card', ""26'""), ('sub-out', ""83'"")]"
11,Pedro,"[('sub-out', ""83'"")]",20,D. Alli,"[('sub-out', ""73'"")]"
10,E. Hazard,"[('sub-out', ""77'"")]",12,V. Wanyama,[]
7,N. Kanté,[],15,E. Dier,[]
21,N. Matić,[],10,H. Kane,[]
19,Diego Costa,[],7,Heung-Min Son,"[('sub-out', ""65'"")]"
