"
Hull City","
West Bromwich Albion"
Starting XI
23,D. Marshall,[],1,B. Foster,[]
21,M. Dawson,"[('yellow-card', ""29'"")]",25,C. Dawson,[]
6,C. Davies,[],2,A. Nyom,[]
28,J. Tymon,"[('sub-out', ""90'+"")]",23,G. McAuley,"[('yellow-card', ""60'"")]"
11,S. Clucas,"[('yellow-card', ""45'"")]",6,J. Evans,"[('yellow-card', ""67'"")]"
10,R. Snodgrass,[],10,M. Phillips,"[('sub-out', ""83'"")]"
22,M. Henriksen,"[('sub-out', ""88'"")]",24,D. Fletcher,"[('sub-out', ""64'"")]"
25,R. Mason,"[('sub-out', ""46'"")]",5,C. Yacob,[]
27,Ahmed El Mohamady,[],11,C. Brunt,[]
14,J. Livermore,[],7,J. Morrison,"[('sub-out', ""79'"")]"
18,D. Mbokani,[],9,S. Rondón,[]
