"
Everton
","
Manchester United
"
Starting XI
22,M. Stekelenburg,[],1,David de Gea,"[('yellow-card', ""88'"")]"
3,L. Baines,[],4,P. Jones,[]
25,Ramiro Funes Mori,[],5,M. Rojo,"[('yellow-card', ""16'"")]"
23,S. Coleman,"[('sub-out', ""67'"")]",36,M. Darmian,[]
5,A. Williams,[],6,P. Pogba,[]
18,G. Barry,"[('yellow-card', ""31'"")]",21,Ander Herrera,[]
17,I. Gueye,[],22,H. Mkhitaryan,"[('sub-out', ""85'"")]"
14,Y. Bolasie,"[('sub-out', ""68'"")]",16,M. Carrick,[]
15,T. Cleverley,"[('sub-out', ""65'"")]",25,A. Valencia,[]
10,R. Lukaku,"[('yellow-card', ""90'"")]",9,Z. Ibrahimović,[]
11,K. Mirallas,[],11,A. Martial,"[('sub-out', ""83'"")]"
