"
Tottenham Hotspur
","
Swansea City
"
Starting XI
1,H. Lloris,[],1,Ł. Fabiański,"[('yellow-card', ""40'"")]"
3,D. Rose,[],5,M. van der Hoorn,[]
2,K. Walker,[],3,N. Taylor,[]
5,J. Vertonghen,[],26,K. Naughton,[]
23,C. Eriksen,[],2,Jordi Amat,"[('yellow-card', ""61'"")]"
15,E. Dier,[],56,J. Fulton,"[('yellow-card', ""22'""), ('sub-out', ""46'"")]"
19,M. Dembélé,"[('sub-out', ""83'"")]",23,G. Sigurðsson,[]
12,V. Wanyama,[],20,J. Montero,"[('sub-out', ""63'"")]"
20,D. Alli,[],8,L. Fer,"[('yellow-card', ""70'"")]"
10,H. Kane,"[('sub-out', ""87'"")]",24,J. Cork,[]
7,Heung-Min Son,"[('sub-out', ""71'"")]",17,M. Barrow,"[('sub-out', ""71'"")]"
