"
West Bromwich Albion","
Watford
"
Starting XI
1,B. Foster,[],1,Gomes,[]
23,G. McAuley,"[('yellow-card', ""15'"")]",5,S. Prödl,[]
6,J. Evans,[],25,J. Holebas,[]
2,A. Nyom,[],18,C. Zúñiga,"[('sub-out', ""77'"")]"
25,C. Dawson,[],27,C. Kabasele,[]
7,J. Morrison,"[('sub-out', ""75'"")]",17,A. Guédioura,[]
5,C. Yacob,[],29,E. Capoue,[]
10,M. Phillips,[],7,N. Amrabat,[]
24,D. Fletcher,[],33,S. Okaka,"[('sub-out', ""90'+"")]"
11,C. Brunt,"[('sub-out', ""80'"")]",37,R. Pereyra,"[('red-card', ""84'"")]"
9,S. Rondón,"[('sub-out', ""88'"")]",9,T. Deeney,"[('yellow-card', ""85'"")]"
