"
Manchester City
","
Arsenal
"
Starting XI
1,C. Bravo,[],33,P. Čech,[]
30,N. Otamendi,[],18,Nacho Monreal,[]
22,G. Clichy,[],24,Bellerín,[]
11,A. Kolarov,[],5,Gabriel Paulista,"[('yellow-card', ""90'+"")]"
5,P. Zabaleta,"[('sub-out', ""46'"")]",6,L. Koscielny,[]
19,L. Sané,"[('sub-out', ""76'"")]",29,G. Xhaka,[]
6,Fernando,"[('yellow-card', ""90'+"")]",34,F. Coquelin,"[('sub-out', ""75'"")]"
42,Y. Touré,"[('yellow-card', ""51'"")]",11,M. Özil,[]
21,David Silva,"[('yellow-card', ""38'"")]",14,T. Walcott,[]
7,R. Sterling,[],7,A. Sánchez,[]
17,K. De Bruyne,"[('yellow-card', ""80'""), ('sub-out', ""84'"")]",17,A. Iwobi,"[('sub-out', ""65'"")]"
