"
Liverpool","
Stoke City
"
Starting XI
22,S. Mignolet,[],33,L. Grant,[]
6,D. Lovren,[],15,B. Martins Indi,[]
17,R. Klavan,[],17,R. Shawcross,[]
2,N. Clyne,[],8,G. Johnson,[]
14,J. Henderson,[],3,E. Pieters,[]
5,G. Wijnaldum,[],6,G. Whelan,"[('sub-out', ""66'"")]"
20,A. Lallana,"[('sub-out', ""69'"")]",21,G. Imbula,[]
7,J. Milner,[],4,J. Allen,"[('yellow-card', ""36'"")]"
19,S. Mané,[],19,J. Walters,[]
27,D. Origi,"[('sub-out', ""70'"")]",25,P. Crouch,"[('sub-out', ""84'"")]"
11,Roberto Firmino,"[('sub-out', ""79'"")]",18,M. Diouf,"[('sub-out', ""75'"")]"
