"
Chelsea
","
Stoke City
"
Starting XI
13,T. Courtois,[],33,L. Grant,[]
30,David Luiz,[],17,R. Shawcross,[]
3,Marcos Alonso,"[('yellow-card', ""70'"")]",3,E. Pieters,[]
24,G. Cahill,[],15,B. Martins Indi,[]
28,Azpilicueta,[],8,G. Johnson,[]
22,Willian,"[('sub-out', ""84'"")]",16,C. Adam,"[('yellow-card', ""86'"")]"
10,E. Hazard,[],4,J. Allen,[]
15,V. Moses,"[('yellow-card', ""24'""), ('sub-out', ""82'"")]",22,X. Shaqiri,"[('sub-out', ""61'"")]"
7,N. Kanté,[],14,I. Afellay,"[('sub-out', ""62'"")]"
4,Fàbregas,"[('yellow-card', ""59'""), ('sub-out', ""73'"")]",18,M. Diouf,"[('yellow-card', ""70'"")]"
19,Diego Costa,[],25,P. Crouch,[]
