"
Leicester City
","
West Ham United"
Starting XI
1,K. Schmeichel,"[('yellow-card', ""72'"")]",1,D. Randolph,[]
5,W. Morgan,[],3,A. Cresswell,[]
6,R. Huth,"[('yellow-card', ""44'"")]",2,W. Reid,[]
3,B. Chilwell,[],21,A. Ogbonna,"[('yellow-card', ""45'"")]"
17,D. Simpson,"[('yellow-card', ""83'"")]",8,C. Kouyaté,"[('sub-out', ""78'"")]"
13,D. Amartey,"[('yellow-card', ""47'"")]",4,H. Nordtveit,"[('yellow-card', ""71'"")]"
22,D. Gray,"[('sub-out', ""80'"")]",27,D. Payet,[]
11,M. Albrighton,"[('yellow-card', ""66'"")]",30,M. Antonio,[]
4,D. Drinkwater,[],16,M. Noble,"[('sub-out', ""57'"")]"
19,I. Slimani,"[('sub-out', ""83'"")]",20,A. Ayew,"[('sub-out', ""65'"")]"
26,R. Mahrez,"[('sub-out', ""70'"")]",9,A. Carroll,[]
