"
Southampton
","
West Bromwich Albion
"
Starting XI
1,F. Forster,[],1,B. Foster,[]
17,V. van Dijk,"[('yellow-card', ""32'""), ('sec-yellow-card', ""89'"")]",6,J. Evans,[]
15,R. Martina,"[('sub-out', ""75'"")]",25,C. Dawson,"[('yellow-card', ""75'"")]"
3,M. Yoshida,[],2,A. Nyom,"[('yellow-card', ""36'""), ('sub-out', ""46'"")]"
8,S. Davis,[],23,G. McAuley,[]
38,S. McQueen,[],10,M. Phillips,[]
23,P. Højbjerg,"[('sub-out', ""52'"")]",11,C. Brunt,[]
19,S. Boufal,"[('yellow-card', ""77'"")]",22,N. Chadli,"[('sub-out', ""53'"")]"
14,Oriol Romeu,[],4,H. Robson-Kanu,"[('yellow-card', ""52'""), ('sub-out', ""72'"")]"
11,D. Tadić,"[('sub-out', ""74'"")]",24,D. Fletcher,[]
7,S. Long,[],5,C. Yacob,[]
