"
Sunderland
","
Stoke City
"
Starting XI
1,V. Mannone,[],33,L. Grant,[]
22,D. Love,[],17,R. Shawcross,[]
5,P. Djilobodji,"[('yellow-card', ""62'"")]",15,B. Martins Indi,[]
16,J. O'Shea,[],8,G. Johnson,[]
4,J. Denayer,[],3,E. Pieters,[]
3,P. van Aanholt,"[('yellow-card', ""72'"")]",22,X. Shaqiri,"[('sub-out', ""89'"")]"
44,A. Januzaj,"[('yellow-card', ""90'+"")]",16,C. Adam,"[('yellow-card', ""56'""), ('sub-out', ""68'"")]"
8,J. Rodwell,[],4,J. Allen,[]
7,S. Larsson,[],6,G. Whelan,[]
18,J. Defoe,[],10,M. Arnautović,[]
9,F. Borini,[],25,P. Crouch,[]
