"
Crystal Palace
","
Everton"
Starting XI
13,W. Hennessey,[],1,Joel Robles,[]
2,J. Ward,[],23,S. Coleman,[]
27,D. Delaney,[],30,M. Holgate,"[('yellow-card', ""26'"")]"
5,J. Tomkins,[],3,L. Baines,[]
6,S. Dann,[],25,Ramiro Funes Mori,[]
7,Y. Cabaye,"[('sub-out', ""72'"")]",5,A. Williams,[]
18,J. McArthur,[],18,G. Barry,"[('sub-out', ""59'"")]"
42,J. Puncheon,[],8,R. Barkley,"[('sub-out', ""90'+"")]"
17,C. Benteke,[],26,T. Davies,[]
8,L. Rémy,"[('sub-out', ""61'"")]",11,K. Mirallas,"[('sub-out', ""72'"")]"
31,J. Schlupp,"[('sub-out', ""88'"")]",10,R. Lukaku,[]
