"
Stoke City","
Manchester United
"
Starting XI
33,L. Grant,"[('yellow-card', ""59'"")]",1,David de Gea,[]
3,E. Pieters,"[('yellow-card', ""62'"")]",4,P. Jones,[]
15,B. Martins Indi,[],12,C. Smalling,[]
17,R. Shawcross,[],25,A. Valencia,[]
8,G. Johnson,[],17,D. Blind,[]
22,X. Shaqiri,"[('sub-out', ""73'"")]",22,H. Mkhitaryan,"[('sub-out', ""73'"")]"
4,J. Allen,"[('yellow-card', ""90'+"")]",8,Mata,"[('sub-out', ""67'"")]"
6,G. Whelan,[],6,P. Pogba,[]
16,C. Adam,"[('sub-out', ""63'"")]",21,Ander Herrera,[]
10,M. Arnautović,"[('yellow-card', ""7'""), ('sub-out', ""88'"")]",27,M. Fellaini,"[('sub-out', ""56'"")]"
25,P. Crouch,[],9,Z. Ibrahimović,[]
