"
Tottenham Hotspur","
Stoke City"
Starting XI
1,H. Lloris,[],33,L. Grant,[]
33,B. Davies,[],3,E. Pieters,[]
2,K. Walker,[],15,B. Martins Indi,[]
4,T. Alderweireld,"[('sub-out', ""49'"")]",2,P. Bardsley,[]
5,J. Vertonghen,"[('sub-out', ""66'"")]",17,R. Shawcross,[]
23,C. Eriksen,[],4,J. Allen,[]
20,D. Alli,[],6,G. Whelan,"[('yellow-card', ""20'""), ('sub-out', ""82'"")]"
15,E. Dier,[],16,C. Adam,"[('yellow-card', ""25'""), ('sub-out', ""60'"")]"
12,V. Wanyama,"[('yellow-card', ""90'"")]",10,M. Arnautović,"[('yellow-card', ""39'"")]"
19,M. Dembélé,[],32,Ramadan Sobhi,[]
10,H. Kane,"[('sub-out', ""86'"")]",25,P. Crouch,"[('sub-out', ""60'"")]"
