"
West Bromwich Albion
","
AFC Bournemouth
"
Starting XI
1,B. Foster,[],1,A. Boruc,[]
23,G. McAuley,[],15,A. Smith,[]
25,C. Dawson,"[('sub-out', ""54'"")]",11,C. Daniels,[]
6,J. Evans,[],26,T. Mings,[]
2,A. Nyom,"[('yellow-card', ""49'"")]",3,S. Cook,[]
8,J. Livermore,[],24,R. Fraser,[]
11,C. Brunt,[],32,J. Wilshere,"[('sub-out', ""66'"")]"
22,N. Chadli,"[('sub-out', ""88'"")]",7,M. Pugh,"[('sub-out', ""79'"")]"
24,D. Fletcher,[],8,H. Arter,"[('sub-out', ""66'"")]"
7,J. Morrison,"[('sub-out', ""73'"")]",6,A. Surman,[]
9,S. Rondón,[],17,J. King,[]
