"
Leicester City","
Hull City
"
Starting XI
1,K. Schmeichel,[],16,E. Jakupovic,[]
6,R. Huth,[],5,H. Maguire,[]
28,C. Fuchs,[],3,A. Robertson,[]
5,W. Morgan,[],13,A. Ranocchia,[]
25,W. Ndidi,[],27,Ahmed El Mohamady,[]
17,D. Simpson,[],11,S. Clucas,[]
11,M. Albrighton,[],10,A. N'Diaye,"[('sub-out', ""68'"")]"
4,D. Drinkwater,"[('yellow-card', ""49'"")]",8,T. Huddlestone,"[('yellow-card', ""89'"")]"
26,R. Mahrez,"[('sub-out', ""83'"")]",50,L. Marković,"[('sub-out', ""78'"")]"
9,J. Vardy,[],17,K. Grosicki,[]
20,S. Okazaki,"[('sub-out', ""70'"")]",24,O. Niasse,[]
