"
Arsenal
","
Manchester City
"
Starting XI
13,D. Ospina,[],13,W. Caballero,[]
18,Nacho Monreal,[],24,J. Stones,[]
6,L. Koscielny,"[('sub-out', ""46'"")]",30,N. Otamendi,[]
20,S. Mustafi,"[('yellow-card', ""61'"")]",22,G. Clichy,[]
24,Bellerín,[],25,Fernandinho,"[('yellow-card', ""47'"")]"
29,G. Xhaka,"[('yellow-card', ""32'"")]",15,Jesús Navas,"[('yellow-card', ""8'"")]"
34,F. Coquelin,"[('yellow-card', ""15'"")]",21,David Silva,"[('sub-out', ""89'"")]"
11,M. Özil,[],17,K. De Bruyne,[]
23,D. Welbeck,"[('sub-out', ""77'"")]",7,R. Sterling,"[('sub-out', ""46'"")]"
7,A. Sánchez,[],19,L. Sané,[]
14,T. Walcott,"[('sub-out', ""68'"")]",10,S. Agüero,[]
