"
Burnley","
Tottenham Hotspur
"
Starting XI
1,T. Heaton,[],1,H. Lloris,[]
23,S. Ward,[],4,T. Alderweireld,[]
6,B. Mee,[],5,J. Vertonghen,[]
5,M. Keane,"[('yellow-card', ""47'"")]",33,B. Davies,[]
2,M. Lowton,[],16,K. Trippier,[]
37,S. Arfield,"[('sub-out', ""78'"")]",23,C. Eriksen,[]
13,J. Hendrick,[],20,D. Alli,[]
19,J. Barton,[],12,V. Wanyama,"[('sub-out', ""44'"")]"
21,G. Boyd,"[('sub-out', ""74'"")]",29,H. Winks,"[('sub-out', ""45'+"")]"
7,A. Gray,"[('sub-out', ""56'"")]",15,E. Dier,[]
10,A. Barnes,"[('yellow-card', ""79'"")]",9,V. Janssen,"[('sub-out', ""73'"")]"
