"
Hull City
","
West Ham United
"
Starting XI
16,E. Jakupovic,[],1,D. Randolph,[]
6,C. Davies,"[('sub-out', ""46'"")]",23,José Fonte,"[('yellow-card', ""2'"")]"
13,A. Ranocchia,[],3,A. Cresswell,"[('sub-out', ""68'"")]"
3,A. Robertson,[],19,J. Collins,[]
5,H. Maguire,[],22,S. Byram,[]
50,L. Marković,[],7,S. Feghouli,[]
27,Ahmed El Mohamady,[],8,C. Kouyaté,"[('sub-out', ""90'+"")]"
11,S. Clucas,[],10,M. Lanzini,[]
10,A. N'Diaye,"[('yellow-card', ""73'""), ('sub-out', ""79'"")]",11,R. Snodgrass,"[('sub-out', ""66'"")]"
9,A. Hernández,"[('sub-out', ""80'"")]",9,A. Carroll,"[('yellow-card', ""64'"")]"
24,O. Niasse,"[('yellow-card', ""58'"")]",20,A. Ayew,[]
