"
Liverpool
","
Everton
"
Starting XI
22,S. Mignolet,[],1,Joel Robles,[]
6,D. Lovren,[],6,P. Jagielka,[]
2,N. Clyne,[],38,M. Pennington,"[('sub-out', ""67'"")]"
32,J. Matip,[],5,A. Williams,"[('yellow-card', ""62'"")]"
21,Lucas Leiva,[],3,L. Baines,[]
7,J. Milner,[],30,M. Holgate,[]
10,Philippe Coutinho,"[('sub-out', ""74'"")]",17,I. Gueye,[]
23,E. Can,"[('yellow-card', ""68'"")]",29,D. Calvert-Lewin,"[('sub-out', ""82'"")]"
5,G. Wijnaldum,[],8,R. Barkley,"[('yellow-card', ""40'"")]"
11,Roberto Firmino,"[('sub-out', ""90'"")]",26,T. Davies,"[('yellow-card', ""26'""), ('sub-out', ""66'"")]"
19,S. Mané,"[('sub-out', ""57'"")]",10,R. Lukaku,[]
