"
Swansea City
","
Tottenham Hotspur
"
Starting XI
1,Ł. Fabiański,[],13,M. Vorm,[]
6,A. Mawson,[],2,K. Walker,[]
26,K. Naughton,"[('sub-out', ""72'"")]",4,T. Alderweireld,[]
33,F. Fernández,[],33,B. Davies,"[('sub-out', ""79'"")]"
16,Martin Olsson,[],5,J. Vertonghen,[]
15,W. Routledge,"[('sub-out', ""90'+"")]",23,C. Eriksen,[]
24,J. Cork,[],19,M. Dembélé,[]
23,G. Sigurðsson,[],17,M. Sissoko,"[('sub-out', ""61'"")]"
42,T. Carroll,[],15,E. Dier,"[('yellow-card', ""78'"")]"
8,L. Fer,[],20,D. Alli,[]
3,J. Ayew,"[('yellow-card', ""17'""), ('sub-out', ""75'"")]",7,Heung-Min Son,"[('sub-out', ""90'+"")]"
