"
Middlesbrough
","
Burnley
"
Starting XI
26,Víctor Valdés,[],1,T. Heaton,[]
17,Barragán,[],2,M. Lowton,[]
6,B. Gibson,[],5,M. Keane,"[('yellow-card', ""85'"")]"
5,B. Espinosa,"[('sub-out', ""83'"")]",23,S. Ward,"[('yellow-card', ""45'+"")]"
4,Daniel Ayala,[],6,B. Mee,[]
8,A. Clayton,[],21,G. Boyd,[]
34,A. Forshaw,[],12,R. Brady,[]
19,S. Downing,[],19,J. Barton,[]
7,G. Leadbitter,[],13,J. Hendrick,[]
29,R. Gestede,"[('sub-out', ""69'"")]",10,A. Barnes,"[('yellow-card', ""48'""), ('sub-out', ""90'+"")]"
18,C. Stuani,"[('sub-out', ""58'"")]",7,A. Gray,"[('sub-out', ""62'"")]"
