"
Bayern München
","
Bayer Leverkusen
"
Starting XI
1,M. Neuer,[],1,B. Leno,[]
5,M. Hummels,[],18,Wendell,[]
21,P. Lahm,"[('sub-out', ""82'"")]",4,J. Tah,[]
27,D. Alaba,[],6,A. Dragović,[]
32,J. Kimmich,[],20,C. Aránguiz,[]
8,Javi Martínez,[],29,K. Havertz,[]
14,Xabi Alonso,[],44,K. Kampl,[]
6,Thiago Alcântara,[],39,B. Henrichs,[]
11,Douglas Costa,"[('sub-out', ""74'"")]",19,J. Brandt,"[('sub-out', ""59'"")]"
9,R. Lewandowski,[],14,A. Mehmedi,"[('sub-out', ""59'"")]"
25,T. Müller,"[('sub-out', ""65'"")]",10,H. Çalhanoğlu,[]
