"
Borussia M'gladbach
","
Hoffenheim
"
Starting XI
1,Y. Sommer,[],1,O. Baumann,[]
17,O. Wendt,[],25,N. Süle,[]
4,J. Vestergaard,[],5,F. Schär,"[('sub-out', ""46'"")]"
30,N. Elvedi,[],3,P. Kadeřábek,"[('yellow-card', ""77'"")]"
3,A. Christensen,[],21,B. Hübner,[]
5,T. Strobl,[],8,E. Polanski,[]
8,M. Dahoud,[],17,S. Zuber,"[('sub-out', ""58'"")]"
6,C. Kramer,"[('sub-out', ""87'"")]",6,S. Rudy,[]
11,Raffael,[],27,A. Kramarić,[]
13,L. Stindl,"[('sub-out', ""87'"")]",28,Á. Szalai,"[('sub-out', ""46'"")]"
10,T. Hazard,"[('sub-out', ""75'"")]",14,S. Wagner,[]
