"
Ingolstadt","
Wolfsburg
"
Starting XI
35,M. Hansen,[],1,D. Benaglio,[]
32,M. Tisserand,[],34,R. Rodríguez,[]
34,M. Matip,[],5,J. Bruma,[]
33,F. Hadergjonaj,[],22,Luiz Gustavo,[]
29,M. Suttner,[],23,J. Guilavogui,"[('yellow-card', ""51'"")]"
3,A. Jung,"[('sub-out', ""67'"")]",27,M. Arnold,"[('sub-out', ""46'"")]"
8,Roger,"[('yellow-card', ""52'"")]",13,Y. Gerhardt,[]
36,A. Cohen,"[('yellow-card', ""33'"")]",10,J. Draxler,"[('sub-out', ""75'"")]"
10,P. Groß,"[('sub-out', ""90'"")]",11,D. Didavi,"[('sub-out', ""46'"")]"
9,M. Hartmann,"[('sub-out', ""76'"")]",30,P. Seguin,[]
7,M. Leckie,[],33,M. Gómez,[]
